arc	times
rdfs:label	187301
<http://purl.org/dj/assign>	76339
<http://purl.org/dj/appears>	67560
<http://purl.org/dj/import>	12559
<http://purl.org/dj/print>	9487
<http://purl.org/dj/Iter>	8266
<http://purl.org/dj/_argToVar>	6992
<http://purl.org/dj/Add>	4921
<http://purl.org/dj/tanh>	4710
<http://purl.org/dj/append>	4462
<http://purl.org/dj/subplots>	4075
<http://purl.org/dj/fit>	3355
<http://purl.org/dj/Div>	3285
<http://purl.org/dj/apply>	3242
<http://purl.org/dj/read_csv>	3123
<http://purl.org/dj/train_test_split>	3014
<http://purl.org/dj/plot>	2996
<http://purl.org/dj/mean>	2629
<http://purl.org/dj/add>	2363
<http://purl.org/dj/DataFrame>	2353
<http://purl.org/dj/astype>	2235
<http://purl.org/dj/title>	2207
<http://purl.org/dj/predict>	1789
<http://purl.org/dj/imshow>	1696
<http://purl.org/dj/drop>	1628
<http://purl.org/dj/Mult>	1603
<http://purl.org/dj/zeros>	1595
<http://purl.org/dj/head>	1506
<http://purl.org/dj/Layout>	1506
<http://purl.org/dj/Bar>	1432
<http://purl.org/dj/Sub>	1427
<http://purl.org/dj/show>	1332
<http://purl.org/dj/figure>	1332
<http://purl.org/dj/map>	1310
<http://purl.org/dj/array>	1304
<http://purl.org/dj/distplot>	1269
<http://purl.org/dj/subplot>	1217
<http://purl.org/dj/dict>	1213
<http://purl.org/dj/merge>	1164
<http://purl.org/dj/Scatter>	1161
<http://purl.org/dj/fillna>	1130
<http://purl.org/dj/concat>	1098
<http://purl.org/dj/reshape>	1070
<http://purl.org/dj/xlabel>	1049
<http://purl.org/dj/ylabel>	992
<http://purl.org/dj/sum>	961
<http://purl.org/dj/set_title>	944
<http://purl.org/dj/Figure>	930
<http://purl.org/dj/reset_index>	895
<http://purl.org/dj/scatter>	878
